Geneid	HISAT2 on data 4 and data 3: aligned reads (BAM)
YARS	6028
S100PBP	5561
FNDC5	1460
HPCA	1136
TMEM54	99
RNF19B	4299
AK2	6487
ADC	797
TRIM62	1310
ZNF362	7755
PHC2	10980
MIR3605	16
ZSCAN20	1058
CSMD2	17194
HMGB4	8
LOC402779	6
C1orf94	69
GJB5	15
GJB4	3
GJB3	8
GJA4	328
C1orf212	1922
DLGAP3	1323
LOC653160	80
ZMYM6NB	171
ZMYM6	3058
ZMYM1	2551
SFPQ	52242
ZMYM4	16773
KIAA0319L	6014
NCDN	14014
TFAP2E	484
PSMB2	6271
C1orf216	10042
CLSPN	1491
EIF2C4	17605
EIF2C1	12110
EIF2C3	2602
TEKT2	1674
ADPRHL2	2925
COL8A2	114
TRAPPC3	2434
MAP7D1	19501
THRAP3	21084
SH3D21	927
FAM176B	328
STK40	5268
LSM10	965
OSCP1	509
MRPS15	1132
CSF3R	184
GRIK3	24788
MIR4255	0
LOC728431	12
ZC3H12A	27
MEAF6	10548
SNIP1	2237
DNALI1	2025
GNL2	3355
RSPO1	0
C1orf109	1742
CDCA8	1147
EPHA10	1289
MANEAL	4802
YRDC	1607
C1orf122	869
MTF1	3692
INPP5B	1868
SF3A3	7273
FHL3	713
UTP11L	2787
POU3F1	1701
MIR3659	0
LOC339442	24
RRAGC	2450
GJA9-MYCBP	38
MYCBP	7
GJA9	0
RHBDL2	149
AKIRIN1	6321
NDUFS5	9569
MACF1	101512
KIAA0754	3282
BMP8A	894
PPIEL	1695
PABPC4	9560
SNORA55	25
HEYL	374
NT5C1A	55
HPCAL4	6135
PPIE	3227
BMP8B	157
OXCT2	4
TRIT1	2433
MYCL1	1663
MFSD2A	1496
CAP1	12959
PPT1	6441
RLF	8137
TMCO2	0
ZMPSTE24	4349
COL9A2	3936
SMAP2	5304
ZNF643	2877
ZNF642	1464
DEM1	1617
ZNF684	506
RIMS3	9263
LOC100130557	900
NFYC	4468
MIR30E	0
MIR30C1	0
KCNQ4	360
CITED4	21
CTPS	3129
LOC100507178	136
SLFNL1	48
SCMH1	4510
EDN2	4
HIVEP3	6533
GUCA2B	0
GUCA2A	0
FOXJ3	12803
RIMKLA	4455
ZMYND12	26
PPCS	963
CCDC30	514
PPIH	1827
YBX1	100209
CLDN19	26
LEPRE1	2219
C1orf50	1229
LOC100129924	73
CCDC23	3329
ERMAP	714
ZNF691	912
SLC2A1	5754
FLJ32224	14
FAM183A	2
EBNA1BP2	3399
WDR65	43
TMEM125	23
C1orf210	0
TIE1	1357
MPL	36
CDC20	1529
ELOVL1	1209
MED8	1769
SZT2	9855
HYI	0
PTPRF	24027
KDM4A	12939
LOC100132774	122
ST3GAL3	2787
ARTN	89
IPO13	5066
DPH2	1637
ATP6V0B	6448
B4GALT2	7753
CCDC24	792
SLC6A9	743
KLF17	2
DMAP1	4264
ERI3	4740
RNF220	7685
TMEM53	318
C1orf228	421
KIF2C	1873
RPS8	58206
SNORD55	57
SNORD46	61
SNORD38A	55
SNORD38B	76
BEST4	154
PLK3	1356
TCTEX1D4	6
BTBD19	70
PTCH2	2324
EIF2B3	2348
HECTD3	7354
UROD	2270
ZSWIM5	7801
LOC400752	68
HPDL	130
MUTYH	1736
TOE1	607
TESK2	107
CCDC163P	476
MMACHC	600
PRDX1	12675
AKR1A1	5471
NASP	23513
CCDC17	78
GPBP1L1	6696
RPS15AP10	112
TMEM69	1644
IPP	1332
MAST2	28218
PIK3R3	10993
TSPAN1	133
POMGNT1	7359
LURAP1	74
RAD54L	875
LRRC41	6301
UQCRH	9555
NSUN4	1793
FAAH	2057
LOC729041	26
DMBX1	0
LOC100507423	78
KNCN	4
MKNK1	1267
MOB3C	506
ATPAF1	3123
ATPAF1-AS1	0
LOC100130197	34
KIAA0494	4749
CYP4B1	4
CYP4Z2P	6
CYP4A11	31
CYP4X1	964
CYP4Z1	22
CYP4A22	0
PDZK1IP1	0
TAL1	216
STIL	1414
CMPK1	9954
FOXE3	6
MGC12982	20
FOXD2	43
LOC388630	46
SKINTL	4
SLC5A9	28
SPATA6	695
AGBL4	175
BEND5	1730
ELAVL4	10813
DMRTA2	1184
FAF1	3928
CDKN2C	1501
C1orf185	0
RNF11	13388
TTC39A	39
EPS15	10678
OSBPL9	4943
NRD1	14956
MIR761	0
RAB3B	1832
TXNDC12	2627
KTI12	675
BTF3L4	10859
ZFYVE9	8055
CC2D1B	3795
ORC1	426
PRPF38A	8184
ZCCHC11	13389
GPX7	841
FAM159A	8
SELRC1	2570
ZYG11B	19136
ZYG11A	26
ECHDC2	720
SCP2	4450
PODN	127
SLC1A7	10
CPT2	910
C1orf123	2431
MAGOH	1436
LOC100507564	29
LRP8	39236
FLJ40434	2
DMRTB1	16
GLIS1	7
TMEM48	3408
YIPF1	1521
DIO1	15
HSPB11	1199
LRRC42	2007
LDLRAD1	0
TMEM59	8526
TCEANC2	1256
MIR4781	1
CDCP2	18
CYB5RL	889
MRPL37	3464
SSBP3	9167
ACOT11	50
FAM151A	8
HEATR8	3
HEATR8-TTC4	0
TTC4	184
PARS2	365
TTC22	8
C1orf177	7
DHCR24	17079
TMEM61	0
BSND	0
PCSK9	291
USP24	21391
LOC100507634	52
MIR4422	3
PPAP2B	5386
PRKAA2	4920
C1orf168	29
C8A	0
C8B	2
DAB1	9455
OMA1	489
TACSTD2	2
MYSM1	8005
JUN	11262
LOC100131060	2
HSD52	0
FGGY	224
MIR4711	0
HOOK1	1085
CYP2J2	45
C1orf87	4
NFIA	25111
TM2D1	1278
INADL	2211
L1TD1	36
KANK4	99
USP1	8472
DOCK7	14364
ANGPTL3	39
ATG4C	1414
LINC00466	0
FOXD3	3
ALG6	1386
ITGB3BP	753
EFCAB7	3420
DLEU2L	424
PGM1	2072
ROR1	300
UBE2U	0
CACHD1	5229
MIR4794	1
RAVER2	3177
JAK1	9820
MIR3671	35
MIR101-1	2
AK4	3655
DNAJC6	20669
LEPROT	3850
LEPR	1110
PDE4B	6197
SGIP1	7754
MIR3117	10
TCTEX1D1	63
INSL5	6
WDR78	215
MIER1	4585
SLC35D1	4162
C1orf141	1
IL23R	0
IL12RB2	123
SERBP1	30973
GADD45A	1617
GNG12	2697
LOC100289178	50
DIRAS3	260
WLS	4459
MIR1262	1
RPE65	10
DEPDC1	1007
LRRC7	13061
PIN1P1	24
LRRC40	5653
SRSF11	27441
ANKRD13C	5875
HHLA3	306
CTH	1202
PTGER3	478
ZRANB2-AS1	358
ZRANB2	15493
MIR186	87
ZRANB2-AS2	22
NEGR1	7848
NEGR1-IT1	0
LRRIQ3	20
FPGT-TNNI3K	14
FPGT	1446
TNNI3K	0
C1orf173	2716
CRYZ	1280
TYW3	1102
LHX8	0
SLC44A5	9587
ACADM	4187
RABGGTB	2798
SNORD45C	13
SNORD45A	32
SNORD45B	47
MSH4	111
ASB17	2
ST6GALNAC3	1682
ST6GALNAC5	2549
PIGK	2032
AK5	1458
ZZZ3	5891
USP33	16782
FAM73A	2963
NEXN	173
FUBP1	23962
DNAJB4	2218
GIPC2	10
MGC27382	0
PTGFR	542
IFI44L	574
IFI44	4309
ELTD1	615
LPHN2	12225
TTLL7	12666
PRKACB	36467
SAMD13	105
UOX	5
DNASE2B	0
RPF1	1927
GNG5	1458
CTBS	240
C1orf180	5
SSX2IP	9957
LPAR3	31
MCOLN2	0
MCOLN3	0
WDR63	2
MIR4423	0
SYDE2	166
C1orf52	3531
BCL10	1428
LOC646626	12
DDAH1	11936
CYR61	3898
ZNHIT6	2712
COL24A1	102
ODF2L	5159
CLCA2	0
CLCA1	2
CLCA4	2
CLCA3P	4
SH3GLB1	19531
SEP15	5774
HS2ST1	5640
LOC339524	207
LMO4	47639
LOC100505768	14
PKN2	8147
GTF2B	2421
CCBL2	1821
RBMXL1	4707
GBP3	52
GBP1	19
GBP2	24
GBP7	10
GBP4	164
GBP5	11
GBP6	20
GBP1P1	0
LRRC8B	8744
FLJ27354	64
LRRC8C	2093
LRRC8D	4179
GEMIN8P4	99
ZNF326	9038
BARHL2	4
ZNF644	12112
HFM1	1353
CDC7	2994
HSP90B3P	14
TGFBR3	358
BRDT	15
EPHX4	164
BTBD8	401
KIAA1107	5160
C1orf146	16
GLMN	1157
RPAP2	2031
GFI1	4
EVI5	1992
RPL5	73308
FAM69A	1953
SNORD21	36
SNORA66	76
MTF2	8062
TMED5	5639
CCDC18	926
LOC100131564	1632
DR1	7543
FNBP1L	64831
BCAR3	527
LOC100129046	2
MIR760	18
DNTTIP2	5085
GCLM	896
ABCA4	68
ARHGAP29	1721
ABCD3	8925
F3	2475
SLC44A3	76
CNN3	21388
LOC729970	427
ALG14	301
TMEM56	824
TMEM56-RWDD3	74
RWDD3	516
FLJ31662	0
PTBP2	16803
DPYD	714
MIR137HG	646
MIR2682	91
MIR137	0
LOC729987	23
SNX7	4109
LPPR5	7764
LOC100129620	185
LPPR4	20059
PALMD	5427
MIR548D1	0
MIR548AA1	0
FRRS1	82
AGL	6034
SLC35A3	1413
HIAT1	5347
SASS6	1134
CCDC76	3494
LRRC39	441
DBT	4013
RTCD1	4005
MIR553	7
CDC14A	528
GPR88	466
LOC100128787	2
VCAM1	1591
EXTL2	3498
SLC30A7	3848
DPH5	2063
S1PR1	3286
OLFM3	1736
DNAJA1P5	6
COL11A1	9697
RNPC3	3692
AMY2B	1815
LOC648740	266
AMY2A	18
AMY1A	0
AMY1C	0
AMY1B	0
LOC100129138	5
PRMT6	1413
NTNG1	353
VAV3	154
SLC25A24	2336
NBPF4	0
NBPF6	0
FAM102B	5630
HENMT1	1216
PRPF38B	10033
FNDC7	0
STXBP3	2208
AKNAD1	486
SRG7	46
GPSM2	1864
CLCC1	4482
WDR47	32763
TAF13	1081
TMEM167B	6886
SCARNA2	55
C1orf194	190
KIAA1324	5755
SARS	16420
CELSR2	43398
PSRC1	2026
MYBPHL	39
SORT1	13012
PSMA5	3898
SYPL2	10
ATXN7L2	1737
CYB561D1	2588
AMIGO1	1584
GPR61	104
GNAI3	11668
MIR197	4
GNAT2	24
AMPD2	6741
GSTM4	763
GSTM2	3361
GSTM1	1190
GSTM5	644
GSTM3	3555
EPS8L3	3
CSF1	519
AHCYL1	10883
FAM40A	11003
ALX3	370
UBL4B	19
SLC6A17	3454
KCNC4	1484
LOC440600	15
RBM15	1892
SLC16A4	648
HBXIP	3796
PROK1	12
CYMP	0
KCNA10	0
KCNA2	831
KCNA3	1266
CD53	172
LRIF1	2372
DRAM2	1849
CEPT1	2650
DENND2D	28
CHI3L2	0
RP11-165H20.1	0
CHIA	0
C1orf88	22
PGCP1	0
OVGP1	323
WDR77	2839
ATP5F1	8415
C1orf162	136
ADORA3	187
LOC100129269	10
RAP1A	3423
FAM212B	1119
LOC100506343	333
DDX20	2684
KCND3	830
CTTNBP2NL	12597
MIR4256	3
WNT2B	570
ST7L	2238
CAPZA1	6211
MOV10	1317
RHOC	2505
PPM1J	321
FAM19A3	7
SLC16A1	6350
AKR7A2P1	111
LRIG2	3457
LOC643441	0
MAGI3	7271
PHTF1	3030
RSBN1	8415
PTPN22	10
LOC100287722	315
BCL2L15	260
AP4B1	3837
DCLRE1B	2344
HIPK1	11005
OLFML3	1018
SYT6	5270
TRIM33	17927
BCAS2	2950
DENND2C	381
AMPD1	0
NRAS	11554
CSDE1	63834
SIKE1	5609
SYCP1	0
TSHB	2
TSPAN2	2561
NGF	17
VANGL1	1141
CASQ2	8
NHLH2	160
SLC22A15	593
MAB21L3	0
ATP1A1	18417
ATP1A1OS	191
CD58	286
IGSF3	38232
MIR320B1	0
CD2	0
PTGFRN	7904
CD101	506
TTF2	1026
MIR942	0
TRIM45	1731
VTCN1	100
